423630-99999; 28.16; -89.22; 37
619760-99999; -15.883; 54.517; 13
619970-99999; -46.433; 51.85; 142
621370-99999; 57.35; 1.467; 0
690150-93121; 34.3; -116.167; 625.1
690190-13910; 32.433; -99.85; 545.3
690524-99999; 30.417; -86.667; 9
693254-99999; 30.417; -86.667; 8
700260-27502; 71.283; -156.782; 9.5
700637-27406; 70.192; -148.477; 18.6
700638-99999; 54.85; -163.417; 6
700860-27401; 70.134; -143.577; 0.6
701040-26631; 68.867; -166.133; 4.9
701170-26634; 65.563; -167.921; 82.6
701196-99999; 66.976; -160.437; 50.6
701210-26624; 69.733; -163.005; 7.6
701330-26616; 66.867; -162.633; 9.1
701333-26643; 66.069; -162.764; 6.4
701338-99999; 61.533; -165.583; 22.9
701730-26535; 66; -153.7; 388.9
701740-26533; 66.54; -151.31; 196
701780-26529; 65.175; -152.107; 67.7
702000-26617; 64.511; -165.44; 4
702004-99999; 64.689; -163.413; 81.4
702120-26646; 61.783; -166.033; 146
702190-26615; 60.785; -161.829; 31.1
702220-26501; 64.737; -156.934; 46.6
702310-26510; 62.957; -155.61; 101.5
702315-26536; 62.894; -155.976; 293.8
702350-26534; 61.1; -155.583; 484
702510-26528; 62.32; -150.095; 106.7
702590-26523; 60.58; -151.239; 27.7
702600-26435; 64.55; -149.072; 109.7
702607-25378; 58.096; -135.409; 0
702610-26411; 64.804; -147.876; 131.7
702615-26498; 64.838; -147.614; 138.4
702625-99999; 63.02; -154.36; 126
702626-99999; 57.58; -157.58; 17
702627-26561; 64.727; -155.47; 199
702628-99999; 61.864; -162.026; 31.4
702650-26407; 64.683; -147.083; 166.7
702670-26415; 63.994; -145.721; 389.2
702685-27518; 70.467; -157.436; 29.3
702686-99999; 60.903; -161.231; 9.1
702697-99999; 59.45; -157.33; 92
702710-26425; 62.159; -145.459; 476.1
702720-26401; 61.253; -149.794; 64.6
702725-26491; 61.178; -149.966; 27.4
702730-26451; 61.169; -150.028; 36.6
702740-25331; 61.596; -149.092; 70.1
702910-26412; 62.962; -141.938; 522.1
702960-26410; 60.489; -145.451; 9.5
703050-25623; 58.65; -162.067; 164.9
703051-26521; 62.183; -159.767; 6.1
703052-26652; 61.536; -160.341; 16.8
703053-26654; 61.775; -161.319; 15.5
703054-99999; 61.845; -165.571; 4.3
703055-99999; 58.99; -159.05; 16
703056-26635; 62.095; -163.682; 102.7
703057-26653; 60.541; -165.087; 18
703058-99999; 56.01; -161.16; 4
703059-99999; 55.17; -162.27; 47
703061-25521; 59.324; -155.902; 27.4
703080-25713; 57.155; -170.222; 10.7
703160-25624; 55.221; -162.733; 23.8
703260-25503; 58.683; -156.656; 20.4
703400-25506; 59.749; -154.909; 43.6
703410-25507; 59.642; -151.491; 19.5
703500-25501; 57.751; -152.486; 24.4
